star,4652.593Cr1_4653.460Cr1_29,4652.593Cr1_4653.460Cr1_30,4759.449Ti1_4760.600Ti1_32,4759.449Ti1_4760.600Ti1_33,4799.873Ti2_4800.072Fe1_33,4799.873Ti2_4800.072Fe1_34,5138.510Ni1_5143.171Fe1_42,5187.346Ti2_5200.158Fe1_43,6123.910Ca1_6138.313Fe1_60,6123.910Ca1_6139.390Fe1_60,6138.313Fe1_6139.390Fe1_60,6153.320Fe1_6155.928Na1_61,6153.320Fe1_6162.452Na1_61,6153.320Fe1_6168.150Ca1_61,6155.928Na1_6162.452Na1_61,6162.452Na1_6168.150Ca1_61,6162.452Na1_6175.044Fe1_61,6168.150Ca1_6175.044Fe1_61,6192.900Ni1_6202.028Fe1_61,6242.372Fe1_6244.834V1_62
HD220507,9.682990621828269,9.728952450728368,11.184224583858185,15.301716917333012,13.686859742918832,15.317767563180535,10.020391378649038,9.42033673052596,7.981870824354188,7.867533904472409,8.221249509319712,17.712595047219484,12.898323244040437,11.38667389133008,17.251845660488687,11.537138018431449,10.834625997790077,8.839748146702343,11.609325143249762,12.82294661282408
HD222582,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD222669,36.997672668747555,nan,nan,60.8546993887296,64.54690768115306,nan,nan,25.16521492338907,27.508692043264258,29.115933379283167,32.01674384650392,89.11867718346815,57.19235184250477,43.85984713376686,92.65334596979167,50.65757679818591,48.95532749237877,32.39359768853398,34.30899406434144,67.15710302892784
HD28821,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD30495,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD31527,34.15036762558417,37.93749367717845,58.315404777014045,73.97267340788855,76.51582678613771,76.8685570092035,21.63022307738677,23.533923815205185,22.485846753094247,32.573365207289676,34.56115180043166,nan,66.53231956879674,53.72875992682927,nan,55.142926324977644,52.97092071985666,35.582981015925306,32.41064869048889,122.6750182777762
HD32724,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD361,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD37962,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD38277,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD38858,4.474624702903004,4.361948045601921,6.6633476010275405,8.270129008640646,8.408946868120228,9.835345474572915,2.9890768928736278,3.633882275575014,3.616906010472831,3.175445075013063,4.117206698920289,11.839856478552827,6.963459348407484,5.355132993165759,11.894917812009458,6.278798072096448,5.906539213953797,3.961495918993668,3.5844201546174923,8.774005659212019
HD38973,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD39091,7.175481787998693,8.313031840224305,12.175313424230291,18.362822936568026,17.06291456642432,17.732683399538573,6.871066897051186,5.26359481983292,5.350001118468301,5.735882045835898,6.293070865676486,19.171926896270406,12.564253672308674,12.576727995879137,19.160774455586335,12.772864568429442,10.506862428211546,7.473406931232639,7.178529833740538,18.57781319795445
HD43587,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD43834,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD4391,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD44420,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD44447,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD44594,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD45184,7.5582855434282425,9.28253742798692,11.74185623677859,15.275178194718901,16.463180981240615,16.545938636391572,5.810595240789181,6.03352437679244,6.3709700569802,6.3312649885769865,6.926548919369249,17.048257076270872,12.250895874817877,10.645648231236322,17.737971593662234,12.031777648100132,10.425860900893243,8.021923788779677,7.951581260012301,15.285770217239374
HD45289,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD47186,17.0366703495994,19.472276277495368,17.43696658842345,23.057003527181447,21.22352004354294,23.732410801952305,9.95328445028001,12.335018641808336,22.054267066901264,13.22075696852061,23.351375417874756,21.143280164348223,18.279348280987833,15.609112700039374,21.303272547729257,15.839792461752953,15.69260471834872,12.504802787224182,17.541396846756985,16.323600886820046
HD4915,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD55693,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
