star,4652.593Cr1_4653.460Cr1_29,4652.593Cr1_4653.460Cr1_30,4759.449Ti1_4760.600Ti1_32,4759.449Ti1_4760.600Ti1_33,4799.873Ti2_4800.072Fe1_33,4799.873Ti2_4800.072Fe1_34,5138.510Ni1_5143.171Fe1_42,5187.346Ti2_5200.158Fe1_43,6123.910Ca1_6138.313Fe1_60,6123.910Ca1_6139.390Fe1_60,6138.313Fe1_6139.390Fe1_60,6153.320Fe1_6155.928Na1_61,6153.320Fe1_6162.452Na1_61,6153.320Fe1_6168.150Ca1_61,6155.928Na1_6162.452Na1_61,6162.452Na1_6168.150Ca1_61,6162.452Na1_6175.044Fe1_61,6168.150Ca1_6175.044Fe1_61,6192.900Ni1_6202.028Fe1_61,6242.372Fe1_6244.834V1_62
HD222582,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD222669,56433.46624002024,nan,nan,72597.57956412886,12403.955940413862,nan,nan,739563.3545699619,704329.9922550974,756931.9141592552,52601.99991120852,126953.72444548506,444476.0264955826,721142.9230367717,317522.3518887961,276667.1432166089,611963.0837597112,335296.09845320386,441971.27766984206,118133.27365515866
HD28821,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD30495,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD31527,56443.259151191,56434.656352198675,72618.92485121684,72563.94261454613,12376.685729117053,12407.572299495225,272193.97635705245,739538.5958413393,704361.9044164043,756921.3207771125,52559.49430716506,nan,444602.63128212077,721288.2739245538,nan,276685.88945457136,611993.1341384851,335307.402617794,442006.80404952605,118336.06309002925
HD32724,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD361,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD37962,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD38277,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD38858,56383.10356852708,56408.150327536685,72501.79047498577,72514.0048641368,12507.855966268862,12502.500250565674,272172.21473271796,739553.9801917518,704339.3053677074,756890.3299547469,52552.05718065207,126902.92933296142,444493.83888729615,721198.0252867893,317584.8847913934,276700.9731159988,612022.0924974151,335320.52522991697,442007.1403530643,118204.15251488262
HD38973,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD39091,56434.840274435366,56450.715680001354,72494.20080712915,72537.30934816044,12461.550589204267,12468.692608868812,272165.14598151256,739523.2866090063,704346.7372326279,756886.5770449818,52538.444399179185,127024.99186649571,444561.71481413045,721204.81921218,317535.281030159,276627.517677241,611921.4095377778,335296.9271976701,442003.4573408463,118270.89153096589
HD43587,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD43834,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD4391,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD44420,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD44447,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD44594,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD45184,56428.371066793676,56450.85755242589,72512.95220585748,72501.94868868378,12498.569475974218,12494.01304851368,272177.9825334518,739546.4277980715,704348.2537800673,756903.6427247584,52555.05308831082,127022.33559015875,444555.6150671571,721223.0224367758,317532.2466953972,276671.6645851372,611968.9928877056,335306.9828844459,442013.55453822284,118224.18152708975
HD45289,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD47186,56425.317529088104,56438.88095722916,72529.6510987058,72522.03318021257,12523.717756390093,12519.827242208015,272223.1717996521,739564.1311518399,704417.3919310793,756938.841211021,52511.15602409243,127016.45674153107,444603.46962420025,721189.3565859717,317588.05418090883,276586.92609142984,611900.6848156138,335313.77748866496,442078.1460235328,118230.54942569304
HD4915,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD55693,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD59468,56378.47974657743,56421.4929830659,72517.80654119523,72539.1180598027,12555.80608054455,12522.779409348408,272214.0529265494,739578.7565204562,704382.8889010279,756924.1022098275,52536.15537040178,126934.39847146506,444509.81070321106,721207.3979144427,317564.8858494566,276688.1982566499,612003.3576388559,335312.58691984304,442046.52044721454,118200.1782588998
HD65907,56393.51597959313,56410.29022966971,72508.29660390323,72515.76960490661,12489.059066291342,12471.766060782846,nan,739487.4299873612,704278.3215613294,756832.6629474828,52554.29128033527,127003.82170843684,444571.34658282273,721222.970097118,317564.46531893895,276651.81729023345,611925.125287375,335273.93355071626,442054.78919518815,118281.65162391854
