star,4652.593Cr1_29,4652.593Cr1_30,4653.460Cr1_29,4653.460Cr1_30,4759.449Ti1_32,4759.449Ti1_33,4760.600Ti1_32,4760.600Ti1_33,4799.873Ti2_33,4799.873Ti2_34,4800.072Fe1_33,4800.072Fe1_34,5138.510Ni1_42,5143.171Fe1_42,5187.346Ti2_43,5200.158Fe1_43,6123.910Ca1_60,6138.313Fe1_60,6139.390Fe1_60,6153.320Fe1_61,6155.928Na1_61,6162.452Na1_61,6168.150Ca1_61,6175.044Fe1_61,6192.900Ni1_61,6202.028Fe1_61,6242.372Fe1_62,6244.834V1_62
HD203432,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD20407,70063.6855969032,70035.3149152693,456365.2951165405,717363.241774927,448686.75283263077,533554.0898914144,533477.2031270794,670421.7601690714,558437.7175753809,71384.97996987028,421589.76876722014,350204.97890038707,454524.2181621231,510635.21991432237,593104.0097330927,176073.6587216033,208031.4589055097,50284.291495076555,147715.69240474745,368156.32958172134,437316.17398004414,458029.9678279639,14780.533205660093,112194.53870559281,332572.9596650012,332615.50625680404,97445.1181577355,119235.1163290914
HD204385,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD205536,69933.67364657809,69939.58279962756,456383.0366268551,717438.3600577641,448596.6718592332,533576.2062468163,533531.4711469002,670445.7739786609,558468.2413399204,71441.33256809071,421552.4805284524,350109.6571947197,454512.7642943591,510731.7409152475,593021.9789898949,175982.76525666783,207975.03495946768,50462.41984066864,147895.71216326638,368332.8563861772,437536.1923394991,458282.28703644365,14843.381190145417,112224.4201400957,332654.1972605058,332671.502037319,97409.20252921579,119227.79256442506
HD20619,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD2071,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD207129,70091.59605182295,70066.63186420126,456345.4406723296,717411.2363523671,448577.59389912203,533495.2733029199,533451.8458124234,670394.6583994041,558367.396955932,71354.26843263065,421426.716252019,350076.1298932502,454508.8404477685,510681.51706938614,593081.7892161774,176069.14731856063,208010.90496142063,50310.09616461997,147784.72210919368,368231.6838695049,437411.69947923825,458096.04770045815,14750.75492147905,112211.1148167506,332631.91105943656,332662.5850211804,97484.32738531432,119278.48730456896
HD20766,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD20782,70056.9939813752,70036.0675927514,456321.0331433611,717406.1941888613,448599.09143607056,533572.0526966518,533448.5877312176,670421.7889634366,558422.8879173958,71360.67691294014,421455.6604878954,350098.9328504978,454453.4824378114,510643.69219248137,593094.9953479895,176065.8624757755,207988.8431753037,50289.98637622017,147757.01406557622,368259.62549386534,437425.63136159885,458074.5768387301,14777.928696700877,112183.721689099,332611.1722484341,332660.1413092461,97452.24129570353,119294.9265909569
HD20807,70054.90583774446,70041.13905569732,456357.33065890823,717383.0106828975,448608.66683233145,533515.7322712445,533478.6027891922,670405.9385684192,558430.172587718,71372.30591981557,421512.3585609331,350141.77389858017,454525.86639641784,510651.1200419101,593091.3461708436,176066.4934560436,208013.719057619,50306.45091116533,147762.7217656986,368191.131400452,437371.5419358645,458062.1161339609,14773.626663828258,112209.26815411524,332619.29784616514,332624.7270515241,97435.51759143782,119261.79394808317
HD208704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD210918,70052.62056536715,70032.7159278015,456338.83071385376,717414.0998077868,448605.75816274993,533566.6890010708,533513.0017068511,670451.353275049,558416.1289349843,71380.63967193777,421476.0011894071,350090.7729280184,454533.9742753164,510703.86258370726,593103.4816692384,176086.44174197188,208005.0276434375,50320.40769176563,147784.0159270067,368212.9356580176,437405.7927125069,458005.5588840943,14797.257929636855,112215.23638746946,332624.7272984503,332651.311230016,97438.79962246581,119260.56110129636
HD211415,70068.09456870366,70043.3313187927,456363.3905949694,717390.4948109281,448588.0900272458,533429.5492243002,533385.6672258043,670408.8933587904,558486.6469793114,71351.54000410932,421481.9251687338,350134.6776109329,454523.81025506445,510614.9909062046,593098.5737842474,176079.942843219,208020.92074294496,50297.012026375385,147741.8264421294,368168.14960196055,437355.8290800656,458040.30418637535,14750.765011277539,112219.02749767594,332621.07199066994,332608.8950762101,97457.94781939492,119254.5468765626
HD212708,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD213575,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD217014,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD220507,70048.78550543521,70017.95928109915,456335.6077418242,717446.6094118978,448581.4671939011,533579.4609685921,533554.0857239751,670481.607240869,558296.0695171618,71349.2213989685,421371.5357830296,350043.89662372373,454558.22690660687,510772.3879845012,593108.2546367962,176088.19418716157,207998.12676329416,50369.1118650499,147796.66226806777,368253.0727957701,437435.65779682144,458009.6111609086,14835.752063754368,112207.86477550844,332621.0990655384,332658.07068698754,97406.61115155213,119229.43477406676
HD222582,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD222669,69959.70304926585,70047.20631352381,456268.5283966896,717395.1617760734,448405.1924414187,533332.9684957319,533358.329873137,670064.5336913617,558247.844471476,71519.8541297094,421541.5942380797,350021.76946192555,454621.93168328755,510600.8059177184,593050.25728898,176094.535589193,207974.16131679132,50345.612413737574,147802.99182846016,368303.254567327,437478.7501871499,458243.65271697374,14769.368182319753,112166.48016623827,332519.10482047213,332748.71618523553,97502.63456977566,119311.33981262601
HD28821,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD30495,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD31527,70092.11721643058,70085.8899677277,456393.1675438138,717396.3132928665,448714.5966614502,nan,533517.5370326787,670464.5400832808,558486.4197647738,71378.77900197856,421539.3701331462,350160.620438289,454772.1566128195,510780.7530464665,593084.3619098649,nan,207987.18938509485,50340.19356682778,147850.62236007315,nan,437389.1101245662,458187.4902129556,14600.948256781341,112196.06230458991,332529.3430145601,332552.7361763757,97506.7209586196,119310.33895807792
HD32724,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD361,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD37962,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD38277,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD38858,70044.28778715845,70020.97198836692,456333.9249996998,717393.0524529119,448688.37366730155,533544.1976164053,533532.1060883213,670423.1571264296,558459.2422329589,71435.59642889272,421565.856409867,350133.3806741605,454551.814522892,510629.09077617317,593095.313887958,176066.10108916953,207997.30583047227,50328.264717003825,147794.15598435487,368222.4764056326,437406.44684140926,458117.2537545848,14760.5808417564,112217.15497759274,332627.3769790859,332616.3766753097,97439.33899209733,119266.93485393462
HD38973,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD39091,70080.8727375145,70093.58594896631,456345.94678562094,717436.0491152934,448512.75101659965,533397.2350535677,533421.221016105,670390.3155440777,558326.1945585678,71294.89961429875,421346.97807575355,350067.33879946265,454530.7034532314,510712.54071919824,593100.5519694005,176087.80536918237,208069.2211879222,50339.602625017535,147792.60648594916,368253.75466583396,437411.473978837,458109.99586144317,14765.849267337373,112236.10053701336,332656.1209409077,332671.7273133818,97459.66380067277,119273.89324631736
HD43587,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD43834,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD4391,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD44420,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD44447,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD44594,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
